Name	Entity	AD site	Last seen	Device type	Device manufacturer	Device model	Device product version	CPU model	CPU frequency [Mhz]	Number of CPUs	Total RAM [bytes]	Total drive capacity [bytes]	OS version and architecture	Last logon time	Number of hard resets	Number of days since last system update	System drive free space [bytes]	Total drive free space [bytes]	Total non-system drive free space [bytes]	Last system update	Last system boot time	OS build	Group name	Number of cores
NYC-REAL-L907	New York	CarlstadtVPN	10.03.2020 01:19:59	laptop	Dell	Latitude 7490	-	Intel Core i7-8650U CPU @ 1.90GHz	2112	1	17179869184	511764852736	Windows 10 Enterprise 1809 (64 bits)	09.03.2020 14:33:45	1	-	328163954688	328163954688	0	-	09.03.2020 14:32:17	17763.1012.0.0	TBG_DOMAIN	4
NYC-STPG-L092	New York	NewYork	09.03.2020 20:33:26	laptop	Dell	Latitude 7490	-	Intel Core i7-8650U CPU @ 1.90GHz	2112	1	17179869184	511764852736	Windows 10 Enterprise 1809 (64 bits)	09.03.2020 08:42:42	1	-	313373605888	313373605888	0	-	09.03.2020 08:38:05	17763.1012.0.0	TBG_DOMAIN	4
NYC-GCS-L184	New York	NewYork	09.03.2020 15:07:11	laptop	Dell	Precision 5520	-	Intel Core i7-6820HQ CPU @ 2.70GHz	2701	1	34359738368	511261892608	Windows 10 Enterprise 1809 (64 bits)	09.03.2020 13:39:35	1	-	415635460096	415635460096	0	-	09.03.2020 13:38:15	17763.1012.0.0	TBG_DOMAIN	4
DBN-GSO-L163	Dublin	Dublin	10.03.2020 05:14:28	laptop	Dell	Latitude 7490	-	Intel Core i7-8650U CPU @ 1.90GHz	2112	1	17179869184	511764852736	Windows 10 Enterprise 1809 (64 bits)	10.03.2020 04:57:38	1	-	423551385600	423551385600	0	-	10.03.2020 04:56:59	17763.1012.0.0	TBG_DOMAIN	4
NYC-BAAM-L874	New York	VirginiaVPN	10.03.2020 03:59:14	laptop	Dell	Latitude 7490	-	Intel Core i7-8650U CPU @ 1.90GHz	2112	1	17179869184	511764852736	Windows 10 Enterprise 1809 (64 bits)	05.03.2020 12:34:27	1	-	413435813888	413435813888	0	-	05.03.2020 12:33:17	17763.1012.0.0	TBG_DOMAIN	4
NYC-GSO-L454	New York	CarlstadtVPN	09.03.2020 21:54:17	laptop	Lenovo	20JTS0HA04	ThinkPad T470s W10DG	Intel Core i7-6600U CPU @ 2.60GHz	2808	1	21474836480	255715176448	Windows 10 Enterprise 1809 (64 bits)	09.03.2020 13:31:31	2	-	151902638080	151902638080	0	-	09.03.2020 13:30:26	17763.1012.0.0	TBG_DOMAIN	2
TOK-REAL-L068	Tokyo	Tokyo	10.03.2020 05:14:18	laptop	Dell	Latitude 7490	-	Intel Core i7-8650U CPU @ 1.90GHz	2112	1	17179869184	511764852736	Windows 10 Enterprise 1809 (64 bits)	09.03.2020 11:18:30	1	-	375347798016	375347798016	0	-	09.03.2020 11:12:57	17763.1012.0.0	TBG_DOMAIN	4
HKG-TACT-L001	Hong Kong	HongKong	10.03.2020 03:51:53	laptop	Dell	Latitude 7490	-	Intel Core i7-8650U CPU @ 1.90GHz	2112	1	17179869184	511764852736	Windows 10 Enterprise 1809 (64 bits)	08.03.2020 20:50:37	2	-	427117711360	427117711360	0	-	08.03.2020 20:45:16	17763.1012.0.0	TBG_DOMAIN	4
NYC-PWM-L126	New York	CarlstadtVPN	10.03.2020 03:29:58	laptop	Dell	Latitude 7490	-	Intel Core i7-8650U CPU @ 1.90GHz	2112	1	17179869184	511764852736	Windows 10 Enterprise 1809 (64 bits)	09.03.2020 17:27:17	1	-	415541080064	415541080064	0	-	09.03.2020 17:25:00	17763.973.0.0	TBG_DOMAIN	4
NYC-REAL-L986	New York	CarlstadtVPN	10.03.2020 05:14:58	laptop	Dell	Latitude 7490	-	Intel Core i7-8650U CPU @ 1.90GHz	2112	1	17179869184	511764852736	Windows 10 Enterprise 1809 (64 bits)	09.03.2020 16:20:07	1	-	350729158656	350729158656	0	-	09.03.2020 16:16:03	17763.1012.0.0	TBG_DOMAIN	4
NYC-PEQG-L808	New York	NewYork	06.03.2020 19:55:22	laptop	Dell	Latitude 7490	-	Intel Core i7-8650U CPU @ 1.90GHz	2112	1	17179869184	511764852736	Windows 10 Enterprise 1809 (64 bits)	05.03.2020 14:05:53	1	-	399612579840	399612579840	0	-	05.03.2020 13:40:03	17763.1012.0.0	TBG_DOMAIN	4
MUM-RECP-L001	Mumbai	Mumbai	07.03.2020 13:37:35	laptop	Lenovo	20JTS0HA06	ThinkPad T470s W10DG	Intel Core i7-6600U CPU @ 2.60GHz	2808	1	12884901888	255715176448	Windows 10 Enterprise 1809 (64 bits)	05.03.2020 22:25:25	1	-	207980433408	207980433408	0	-	05.03.2020 02:11:10	17763.379.0.0	TBG_DOMAIN	2
NYC-REAL-L887	New York	NewYork	09.03.2020 18:20:00	laptop	Dell	Latitude 7490	-	Intel Core i7-8650U CPU @ 1.90GHz	2112	1	17179869184	511764852736	Windows 10 Enterprise 1809 (64 bits)	09.03.2020 11:03:37	1	-	392374042624	392374042624	0	-	09.03.2020 11:02:21	17763.1012.0.0	TBG_DOMAIN	4
GUR-FING-L263	Gurgaon	SingaporeVPN	09.03.2020 04:10:03	laptop	Dell	Latitude 7490	-	Intel Core i7-8650U CPU @ 1.90GHz	2112	1	17179869184	511764852736	Windows 10 Enterprise 1809 (64 bits)	08.03.2020 06:36:08	1	-	429942280192	429942280192	0	-	08.03.2020 06:33:21	17763.1012.0.0	TBG_DOMAIN	4
NYC-REAL-L922	New York	NewYork	09.03.2020 12:07:51	laptop	Dell	Latitude 7490	-	Intel Core i7-8650U CPU @ 1.90GHz	2112	1	17179869184	511764852736	Windows 10 Enterprise 1809 (64 bits)	05.03.2020 18:52:18	2	-	362011803648	362011803648	0	-	05.03.2020 18:41:25	17763.1012.0.0	TBG_DOMAIN	4
NYC-REAL-L626	New York	NewYork	10.03.2020 05:14:20	laptop	Lenovo	20FAS72008	ThinkPad T460s	Intel Core i7-6600U CPU @ 2.60GHz	2808	1	12884901888	254568386560	Windows 10 Enterprise 1809 (64 bits)	09.03.2020 09:10:02	1	-	139731296256	139731296256	0	-	09.03.2020 09:08:56	17763.973.0.0	TBG_DOMAIN	2
NYC-BXII-L452	New York	NewYork	04.03.2020 03:07:52	laptop	Dell	Precision 5520	-	Intel Core i7-6820HQ CPU @ 2.70GHz	2701	1	34359738368	511764852736	Windows 10 Enterprise 1809 (64 bits)	28.02.2020 15:55:39	1	-	263357329408	263357329408	0	-	04.03.2020 00:31:14	17763.1012.0.0	TBG_DOMAIN	4
NYC-BXII-L677	New York	NewYork	09.03.2020 17:40:00	laptop	Dell	Precision 5520	-	Intel Core i7-6820HQ CPU @ 2.70GHz	2701	1	34359738368	511764852736	Windows 10 Enterprise 1809 (64 bits)	09.03.2020 09:29:00	2	-	386437185536	386437185536	0	-	09.03.2020 09:28:06	17763.973.0.0	TBG_DOMAIN	4
NYC-REAL-L835	New York	NewYork	09.03.2020 22:04:29	laptop	Dell	Latitude 7490	-	Intel Core i7-8650U CPU @ 1.90GHz	2112	1	17179869184	511764852736	Windows 10 Enterprise 1809 (64 bits)	09.03.2020 09:49:07	1	-	362694651904	362694651904	0	-	09.03.2020 09:47:22	17763.1012.0.0	TBG_DOMAIN	4
NYC-STPG-L073	New York	CarlstadtVPN	09.03.2020 23:00:00	laptop	Dell	Latitude 7490	-	Intel Core i7-8650U CPU @ 1.90GHz	2112	1	17179869184	509584166912	Windows 10 Enterprise 1709 (64 bits)	09.03.2020 09:46:00	1	-	347960643584	347960643584	0	-	09.03.2020 09:41:58	16299.1654.0.0	TBG_DOMAIN	4
LDN-REAL-L697	London	SloughVPN	06.03.2020 12:48:25	laptop	Dell	Latitude 7490	-	Intel Core i7-8650U CPU @ 1.90GHz	2112	1	17179869184	511764852736	Windows 10 Enterprise 1809 (64 bits)	05.03.2020 05:01:24	1	-	418919501824	418919501824	0	-	05.03.2020 04:52:01	17763.973.0.0	TBG_DOMAIN	4
NYC-FING-L508	New York	NewYork	10.03.2020 00:17:31	laptop	Dell	Latitude 7490	-	Intel Core i7-8650U CPU @ 1.90GHz	2112	1	17179869184	511764852736	Windows 10 Enterprise 1809 (64 bits)	05.03.2020 05:31:44	2	-	385127297024	385127297024	0	-	05.03.2020 05:24:25	17763.973.0.0	TBG_DOMAIN	4
NYC-TEMP-L057	New York	NewYork	09.03.2020 19:49:09	laptop	Lenovo	20BWS13000	ThinkPad T450s	Intel Core i7-5600U CPU @ 2.60GHz	2594	1	8589934592	255715176448	Windows 10 Enterprise 1809 (64 bits)	09.03.2020 09:54:58	2	-	37914329088	37914329088	0	-	09.03.2020 09:54:27	17763.615.0.0	TBG_DOMAIN	2
NYC-PEQG-L783	New York	NewYork	08.03.2020 18:19:51	laptop	Dell	Latitude 7490	-	Intel Core i7-8650U CPU @ 1.90GHz	2112	1	17179869184	511764852736	Windows 10 Enterprise 1809 (64 bits)	05.03.2020 08:44:40	2	-	367350284288	367350284288	0	-	08.03.2020 17:14:28	17763.1012.0.0	TBG_DOMAIN	4
NYC-REAL-L667	New York	VirginiaVPN	10.03.2020 00:39:59	laptop	Dell	Latitude 7490	-	Intel Core i7-8650U CPU @ 1.90GHz	2112	1	17179869184	511764852736	Windows 10 Enterprise 1809 (64 bits)	05.03.2020 21:50:19	1	-	370061811712	370061811712	0	-	05.03.2020 21:08:28	17763.1012.0.0	TBG_DOMAIN	4
NYC-GCS-L116	New York	NewYork	09.03.2020 17:28:01	laptop	Dell	Latitude 7490	-	Intel Core i7-8650U CPU @ 1.90GHz	2112	1	17179869184	511764852736	Windows 10 Enterprise 1809 (64 bits)	08.03.2020 21:14:50	1	-	361999818752	361999818752	0	-	08.03.2020 21:13:42	17763.1012.0.0	TBG_DOMAIN	4
NYC-REAL-L885	New York	NewYork	10.03.2020 05:14:27	laptop	Dell	Latitude 7490	-	Intel Core i7-8650U CPU @ 1.90GHz	2112	1	17179869184	511764852736	Windows 10 Enterprise 1809 (64 bits)	04.03.2020 09:54:15	1	-	308602310656	308602310656	0	-	04.03.2020 09:52:44	17763.973.0.0	TBG_DOMAIN	4
NYC-REAL-L833	New York	CarlstadtVPN	10.03.2020 00:00:00	laptop	Dell	Latitude 7490	-	Intel Core i7-8650U CPU @ 1.90GHz	2112	1	17179869184	511261892608	Windows 10 Enterprise 1809 (64 bits)	09.03.2020 23:54:31	2	-	407250714624	407250714624	0	-	09.03.2020 23:40:01	17763.1012.0.0	TBG_DOMAIN	4
NYC-PORT-L022	New York	VirginiaVPN	09.03.2020 22:10:00	laptop	Dell	Latitude 7490	-	Intel Core i7-8650U CPU @ 1.90GHz	2112	1	17179869184	511764852736	Windows 10 Enterprise 1809 (64 bits)	09.03.2020 12:16:50	2	-	409667530752	409667530752	0	-	09.03.2020 12:09:17	17763.973.0.0	TBG_DOMAIN	4
SIN-REAL-L088	Singapore	Singapore	10.03.2020 05:14:51	laptop	Dell	Latitude 7490	-	Intel Core i7-8650U CPU @ 1.90GHz	2112	1	17179869184	511764852736	Windows 10 Enterprise 1809 (64 bits)	09.03.2020 20:34:47	1	-	381820522496	381820522496	0	-	09.03.2020 20:33:52	17763.1012.0.0	TBG_DOMAIN	4
NYC-BAAM-L113	New York	CarlstadtVPN	09.03.2020 23:37:52	laptop	Dell	Precision 5520	-	Intel Core i7-6820HQ CPU @ 2.70GHz	2701	1	34359738368	511764852736	Windows 10 Enterprise 1809 (64 bits)	06.03.2020 16:15:40	1	-	265469399040	265469399040	0	-	06.03.2020 16:14:43	17763.1012.0.0	TBG_DOMAIN	4
HKG-PEQG-L116	Hong Kong	HongKong	09.03.2020 21:23:29	laptop	Dell	Latitude 7490	-	Intel Core i7-8650U CPU @ 1.90GHz	2112	1	17179869184	511764852736	Windows 10 Enterprise 1809 (64 bits)	08.03.2020 06:14:22	2	-	333183676416	333183676416	0	-	08.03.2020 06:08:31	17763.1012.0.0	TBG_DOMAIN	4
NYC-PEQG-L815	New York	NewYork	06.03.2020 19:56:57	laptop	Dell	Latitude 7490	-	Intel Core i7-8650U CPU @ 1.90GHz	2112	1	17179869184	511764852736	Windows 10 Enterprise 1809 (64 bits)	05.03.2020 10:58:25	1	-	378678095872	378678095872	0	-	05.03.2020 10:56:35	17763.973.0.0	TBG_DOMAIN	4
NYC-BXII-L252	New York	NewYork	09.03.2020 22:42:55	laptop	Dell	Latitude 7490	-	Intel Core i7-8650U CPU @ 1.90GHz	2112	1	17179869184	511764852736	Windows 10 Enterprise 1809 (64 bits)	09.03.2020 09:24:20	1	-	389632757760	389632757760	0	-	09.03.2020 09:23:25	17763.832.0.0	TBG_DOMAIN	4
HKG-REAL-L143	Hong Kong	HongKong	10.03.2020 05:13:39	laptop	Dell	Latitude 7490	-	Intel Core i7-8650U CPU @ 1.90GHz	2112	1	17179869184	511764852736	Windows 10 Enterprise 1809 (64 bits)	06.03.2020 21:37:06	1	-	372821229568	372821229568	0	-	06.03.2020 21:35:43	17763.1012.0.0	TBG_DOMAIN	4
SIN-PORT-L009	Singapore	Singapore	10.03.2020 05:13:42	laptop	Dell	Latitude 7490	-	Intel Core i7-8650U CPU @ 1.90GHz	2112	1	17179869184	511764852736	Windows 10 Enterprise 1809 (64 bits)	10.03.2020 03:24:51	1	-	371767791616	371767791616	0	-	10.03.2020 03:24:01	17763.1012.0.0	TBG_DOMAIN	4
NYC-REAL-L855	New York	CarlstadtVPN	09.03.2020 21:42:11	laptop	Dell	Latitude 7490	-	Intel Core i7-8650U CPU @ 1.90GHz	2112	1	17179869184	511764852736	Windows 10 Enterprise 1809 (64 bits)	09.03.2020 08:59:54	1	-	384517693440	384517693440	0	-	09.03.2020 08:59:21	17763.1012.0.0	TBG_DOMAIN	4
NYC-ERSG-L115	New York	NewYork	09.03.2020 17:40:00	laptop	Lenovo	20JTS0HD06	ThinkPad T470s W10DG	Intel Core i7-6600U CPU @ 2.60GHz	2808	1	21474836480	511764852736	Windows 10 Enterprise 1809 (64 bits)	05.03.2020 10:42:07	1	-	453170966528	453170966528	0	-	05.03.2020 10:40:50	17763.1012.0.0	TBG_DOMAIN	2
NYC-BXII-L420	New York	CarlstadtVPN	09.03.2020 23:32:31	laptop	Dell	Latitude 7490	-	Intel Core i7-8650U CPU @ 1.90GHz	2112	1	17179869184	511764852736	Windows 10 Enterprise 1809 (64 bits)	09.03.2020 08:43:42	1	-	450149412864	450149412864	0	-	09.03.2020 08:42:22	17763.1012.0.0	TBG_DOMAIN	4
NYC-PORT-L048	New York	NewYork	09.03.2020 16:02:39	laptop	Lenovo	20JTS0HA04	ThinkPad T470s W10DG	Intel Core i7-6600U CPU @ 2.60GHz	2808	1	12884901888	255715176448	Windows 10 Enterprise 1809 (64 bits)	09.03.2020 14:12:24	1	-	194293669888	194293669888	0	-	09.03.2020 14:11:05	17763.1012.0.0	TBG_DOMAIN	2
NYC-TACT-L159	New York	NewYork	09.03.2020 19:26:48	laptop	Dell	Latitude 7490	-	Intel Core i7-8650U CPU @ 1.90GHz	2112	1	17179869184	511764852736	Windows 10 Enterprise 1809 (64 bits)	09.03.2020 16:40:37	4	-	427492290560	427492290560	0	-	09.03.2020 16:37:24	17763.1012.0.0	TBG_DOMAIN	4
TOK-REAL-L069	Tokyo	Tokyo	07.03.2020 23:07:58	laptop	Dell	Latitude 7490	-	Intel Core i7-8650U CPU @ 1.90GHz	2112	1	17179869184	511764852736	Windows 10 Enterprise 1809 (64 bits)	05.03.2020 23:05:13	1	-	426090848256	426090848256	0	-	06.03.2020 03:42:22	17763.973.0.0	TBG_DOMAIN	4
NYC-FING-L524	New York	VirginiaVPN	10.03.2020 05:14:04	laptop	Dell	Latitude 7490	-	Intel Core i7-8650U CPU @ 1.90GHz	2112	1	17179869184	511764852736	Windows 10 Enterprise 1809 (64 bits)	09.03.2020 12:38:06	1	-	441621262336	441621262336	0	-	09.03.2020 12:37:28	17763.973.0.0	TBG_DOMAIN	4
NYC-GSO-L568	New York	VirginiaVPN	10.03.2020 05:14:33	laptop	Dell	Precision 5520	-	Intel Core i7-6820HQ CPU @ 2.70GHz	2701	1	34359738368	511764852736	Windows 10 Enterprise 1809 (64 bits)	09.03.2020 21:35:24	2	-	425688276992	425688276992	0	-	09.03.2020 21:28:22	17763.1012.0.0	TBG_DOMAIN	4
NYC-FING-L674	New York	NewYork	10.03.2020 05:12:59	laptop	Dell	Precision 5520	-	Intel Core i7-6820HQ CPU @ 2.70GHz	2701	1	34359738368	511764852736	Windows 10 Enterprise 1809 (64 bits)	09.03.2020 09:04:30	1	-	351412072448	351412072448	0	-	09.03.2020 08:51:18	17763.1012.0.0	TBG_DOMAIN	4
SHG-REAL-L001	-	Shanghai	10.03.2020 05:13:53	laptop	Dell	Latitude 7490	-	Intel Core i7-8650U CPU @ 1.90GHz	2112	1	17179869184	511764852736	Windows 10 Enterprise 1809 (64 bits)	08.03.2020 03:28:39	1	-	388085907456	388085907456	0	-	08.03.2020 03:26:21	17763.973.0.0	TBG_DOMAIN	4
CAM-CLAR-L029	Cambridge	Cambridge	09.03.2020 18:04:07	laptop	Dell	Latitude 7490	-	Intel Core i7-8650U CPU @ 1.90GHz	2112	1	17179869184	511764852736	Windows 10 Enterprise 1809 (64 bits)	09.03.2020 07:54:31	1	-	436536745984	436536745984	0	-	09.03.2020 07:36:03	17763.1012.0.0	TBG_DOMAIN	4
TOK-IRBD-L014	Tokyo	Tokyo	10.03.2020 05:14:27	laptop	Dell	Latitude 7490	-	Intel Core i7-8650U CPU @ 1.90GHz	2112	1	17179869184	511764852736	Windows 10 Enterprise 1809 (64 bits)	09.03.2020 14:09:34	1	-	394110578688	394110578688	0	-	09.03.2020 14:05:19	17763.1012.0.0	TBG_DOMAIN	4
NYC-PEQG-L833	New York	NewYork	09.03.2020 13:32:10	laptop	Dell	Latitude 7490	-	Intel Core i7-8650U CPU @ 1.90GHz	2112	1	17179869184	511764852736	Windows 10 Enterprise 1809 (64 bits)	04.03.2020 14:40:54	1	-	390463655936	390463655936	0	-	04.03.2020 14:36:06	17763.973.0.0	TBG_DOMAIN	4
GUR-FING-L236	Gurgaon	Gurgaon10CC2	09.03.2020 18:29:41	laptop	Dell	Latitude 7490	-	Intel Core i7-8650U CPU @ 1.90GHz	2112	1	17179869184	511764852736	Windows 10 Enterprise 1809 (64 bits)	09.03.2020 09:28:50	1	-	439458672640	439458672640	0	-	09.03.2020 09:28:03	17763.1012.0.0	TBG_DOMAIN	4
LDN-STPG-L023	London	NewYork	09.03.2020 16:23:49	laptop	Dell	Latitude 7490	-	Intel Core i7-8650U CPU @ 1.90GHz	2112	1	17179869184	511764852736	Windows 10 Enterprise 1809 (64 bits)	05.03.2020 10:16:02	1	-	446536294400	446536294400	0	-	05.03.2020 10:13:37	17763.1012.0.0	TBG_DOMAIN	4
NYC-REAL-L662	New York	NewYork	09.03.2020 19:58:46	laptop	Dell	Latitude 7490	-	Intel Core i7-8650U CPU @ 1.90GHz	2112	1	17179869184	511261892608	Windows 10 Enterprise 1809 (64 bits)	09.03.2020 08:28:34	1	-	414177591296	414177591296	0	-	09.03.2020 08:20:34	17763.1012.0.0	TBG_DOMAIN	4
NYC-REAL-L886	New York	NewYork	09.03.2020 21:12:14	laptop	Lenovo	20FAS72008	ThinkPad T460s	Intel Core i7-6600U CPU @ 2.60GHz	2808	1	21474836480	255715176448	Windows 10 Enterprise 1809 (64 bits)	08.03.2020 21:18:54	1	-	117684195328	117684195328	0	-	08.03.2020 21:12:36	17763.1012.0.0	TBG_DOMAIN	2
GUR-BXII-L467	Gurgaon	Gurgaon	09.03.2020 19:58:22	laptop	Dell	Latitude 7490	-	Intel Core i7-8650U CPU @ 1.90GHz	2112	1	17179869184	511764852736	Windows 10 Enterprise 1809 (64 bits)	09.03.2020 05:45:38	4	-	446118588416	446118588416	0	-	09.03.2020 05:44:59	17763.1012.0.0	TBG_DOMAIN	4
GUR-REAL-L097	Gurgaon	SingaporeVPN	09.03.2020 06:56:55	laptop	Dell	Latitude 7490	-	Intel Core i7-8650U CPU @ 1.90GHz	2112	1	17179869184	511764852736	Windows 10 Enterprise 1809 (64 bits)	09.03.2020 05:07:38	1	-	386522267648	386522267648	0	-	09.03.2020 05:05:10	17763.1012.0.0	TBG_DOMAIN	4
NYC-CONF-W214	New York	NewYork	10.03.2020 05:13:48	desktop	HP	HP Compaq 8200 Elite SFF PC	-	Intel Core i7-2600 CPU @ 3.40GHz	3401	1	17179869184	180043665408	Windows 7 Professional SP1 (64 bits)	02.03.2020 09:37:39	1	-	1130938368	1130938368	0	-	07.03.2020 16:55:04	7601.24383.0.0	TBG_DOMAIN	4
NYC-BAAM-L949	New York	NewYork	09.03.2020 10:04:33	laptop	Dell	Latitude 7490	-	Intel Core i7-8650U CPU @ 1.90GHz	2112	1	17179869184	511764852736	Windows 10 Enterprise 1809 (64 bits)	04.03.2020 08:26:00	1	-	404092289024	404092289024	0	-	04.03.2020 08:23:26	17763.973.0.0	TBG_DOMAIN	4
